segment,n_customers,n_treated,n_control,treated_outcome_rate,control_outcome_rate,actual_lift,actual_lift_se,actual_lift_ci_lower,actual_lift_ci_upper,mean_tau_hat
womens_only,7174,4798,2376,0.16444351813255523,0.10395622895622895,0.06048728917632627,0.008237964437193027,0.04434087887942794,0.0766336994732246,0.07740683317737498
mens_only,7253,4859,2394,0.1415929203539823,0.0998329156223893,0.041760004731593,0.007910325548315382,0.02625576665689485,0.057264242806291145,0.03914724203211482
both,1573,1017,556,0.30186823992133727,0.1420863309352518,0.15978190898608546,0.02066544679262129,0.11927763327254773,0.2002861846996232,0.07840092939056685
Overall,16000,10674,5326,0.16713509462244708,0.10608336462636124,0.06105172999608584,0.005554343980065103,0.05016521579515824,0.07193824419701345,0.060161014350298664
