decile,n_customers,n_treated,n_control,treated_outcome_rate,control_outcome_rate,actual_lift,actual_lift_se,actual_lift_ci_lower,actual_lift_ci_upper,mean_tau_hat
1,1600,1053,547,0.2222222222222222,0.13345521023765997,0.08876701198456224,0.0193932974503649,0.05075614898184704,0.12677787498727744,0.09571921229931032
2,1600,1070,530,0.15794392523364487,0.0830188679245283,0.07492505730911657,0.01638047642048974,0.042819323524956675,0.10703079109327646,0.08388601396218089
3,1600,1079,521,0.1556997219647822,0.10556621880998081,0.050133503154801404,0.01742200674008613,0.015986369944232588,0.08428063636537023,0.07963877720290191
4,1600,1032,568,0.1937984496124031,0.10211267605633803,0.09168577355606508,0.01769875473169444,0.05699621428194398,0.12637533283018618,0.07325854424731613
5,1600,1079,521,0.18072289156626506,0.11324376199616124,0.06747912957010382,0.018178656495824466,0.03184896283828787,0.10310929630191978,0.06211948675500345
6,1600,1073,527,0.16775396085740912,0.12144212523719165,0.04631183562021747,0.018250364032702943,0.010541122116119704,0.08208254912431523,0.05149904890967991
7,1600,1076,524,0.1171003717472119,0.0916030534351145,0.025497318312097395,0.015977478009573724,-0.005818538586667102,0.05681317521086189,0.0463294676705094
8,1600,1082,518,0.14417744916820702,0.08301158301158301,0.061165866156624005,0.016167248345902364,0.029478059398655374,0.09285367291459264,0.04230284980800132
9,1600,1068,532,0.14700374531835206,0.09774436090225563,0.049259384416096424,0.016840529499664587,0.016251946596753837,0.08226682223543902,0.037392852898991455
10,1600,1062,538,0.1873822975517891,0.12825278810408922,0.059129509447699874,0.018754115557955385,0.02237144295410732,0.09588757594129244,0.02361379094119058
Overall,16000,10674,5326,0.16713509462244708,0.10608336462636124,0.06105172999608584,0.005554343980065103,0.05016521579515824,0.07193824419701345,0.05957600446950854
