Model,Qini Score,AUUC Score
Logistic T-learner,0.04334233504022578,0.02605144044307601
XGBoost T-learner,0.0162126707940084,0.009721386992246797
Random Forest T-learner,0.021608903243966693,0.013020585229294099
Random targeting,0.0,0.0
