Model,ROC AUC,Brier Score
Logistic treatment model,0.6230800466085236,0.135651410248758
Logistic control model,0.6375326444767868,0.09321339249184418
XGBoost treatment model,0.6200734752606596,0.1357003487934707
XGBoost control model,0.6263709750870364,0.0934994337156911
Random Forest treatment model,0.6185266359642265,0.13585209543796065
Random Forest control model,0.6147275150420173,0.09345251004682327
