segment,n_customers,n_treated,n_control,treated_outcome_rate,control_outcome_rate,actual_lift,actual_lift_se,actual_lift_ci_lower,actual_lift_ci_upper
womens_only,28734,19215,9519,0.16809784022898777,0.09580838323353294,0.07228945699545483,0.004047182671103728,0.06435697896009153,0.08022193503081813
mens_only,28818,19180,9638,0.13983315954118875,0.09981323926125753,0.04001992027993122,0.003949042086657496,0.032279797790082526,0.04776004276977991
both,6448,4299,2149,0.2837869271923703,0.18054909260120985,0.10323783459116045,0.010778145810878423,0.08211266880183875,0.12436300038048216
Overall,64000,42694,21306,0.16704923408441466,0.10616727682343002,0.06088195726098464,0.002777287642805201,0.055438473481086444,0.06632544104088284
