policy,n_targeted,treated_outcome_rate,control_outcome_rate,incremental_conversion_rate,incremental_conversion_rate_ci_lower,incremental_conversion_rate_ci_upper,incremental_conversions,incremental_profit,incremental_spend,net_value,net_value_per_customer,qini_visit,auuc_visit,significant_at_95pct
response_probability (baseline),4800.0,0.012759170653907496,0.010810810810810811,0.0019483598430966847,-0.004386385993697614,0.008283105679890983,9.352127246864086,1058.7767623353175,1153.1110823742388,818.7767623353175,0.17057849215319115,,,False
uplift:x_learner,4800.0,0.009993753903810118,0.0037546933667083854,0.006239060537101732,0.0016704795361138624,0.010807641538089602,29.947490578088313,3390.4272554640293,4305.433778481691,3150.4272554640293,0.6563390115550061,0.04995950953898738,0.5510278854110819,True
uplift:t_learner:xgb,4800.0,0.010439734261309713,0.005491153142159854,0.004948581119149859,-8.795821443700978e-05,0.009985120452736727,23.753189371919323,2689.15555514617,3317.7752917989387,2449.15555514617,0.5102407406554521,0.04427544548032798,0.5458019060850864,False
uplift:t_learner:rf,4800.0,0.010975227343994982,0.006207324643078833,0.004767902700916149,-0.0005046187607385183,0.010040424162570817,22.885932964397515,2590.9713766130567,3517.3786987742433,2350.9713766130567,0.4897857034610535,0.044387298364194354,0.5459556172760056,False
uplift:t_learner:lgr,4800.0,0.010698552548772814,0.006165228113440197,0.004533324435332616,-0.0006934389541470489,0.009760087824812282,21.75995728959656,2463.4969691370648,3184.6887549187963,2223.4969691370648,0.4632285352368885,0.08902610527648454,0.591943827878988,False
uplift:s_learner:xgb,4800.0,0.010681746779767515,0.0074211502782931356,0.0032605965014743795,-0.0022411366175387583,0.008762329620487518,15.650863207077021,1771.871771708238,2881.673668730624,1531.871771708238,0.3191399524392162,0.03873707479481806,0.5410951016066848,False
uplift:s_learner:lr,4800.0,0.012742911755336095,0.010836845273931367,0.0019060664814047282,-0.004434939894447191,0.008247072857256649,9.149119110742696,1035.7937242075584,1128.399627225717,795.7937242075584,0.165790359209908,0.06944952249218707,0.5731553308942462,False
